종류,코드,상품명,위험등급,취급시작,취급종료,판매,매칭,SEIBro확인,정식펀드명(SEIBro),SEIBro이름대조,협회표준코드,협회단축코드,KOFIA펀드명,KOFIA이름대조,대조결과,확인필요
펀드,KRZ500397945,미래에셋인디펜던스증권자투자신탁4호(주식) 종류C1,2,,,,matched,,,,KR5301738229,,,,,
펀드,KRZ500394574,미래에셋동유럽업종대표증권자투자신탁1호(주식) 종류 C-e,2,,,,matched,,,,KR5301734236,,,,,
펀드,KRZ500361801,미래에셋디스커버리플러스증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301697730,,,,,
펀드,KRZ500376741,미래에셋인디아인프라섹터증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301714584,,,,,
펀드,KRZ500280573,베어링 가치형 증권자투자신탁(주식) Class C-F,2,,,,matched,,,,KR5302611466,,,,,
펀드,KRZ500182004,미래에셋인디아디스커버리증권자투자신탁1호(주식)종류C-F,2,,,,matched,,,,KR5301511063,,,,,
펀드,KRZ500199734,마이다스 블루칩배당 증권 투자신탁 1호(주식) C1 클래스,2,,,,matched,,,,KR5303529378,,,,,
펀드,KRZ500396974,미래에셋차이나업종대표증권자투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301737064,,,,,
펀드,KRZ500394651,미래에셋EasternEURICs업종대표증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301734319,,,,,
펀드,KRZ500318404,미래에셋친디아컨슈머증권투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301650853,,,,,
펀드,KRZ500322864,미래에셋아시아퍼시픽인프라섹터증권투자신탁1호(주식) 종류 C-I,3,,,,matched,,,,KR5301655530,,,,,
펀드,KRZ500384081,미래에셋차이나인프라섹터증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301722298,,,,,
펀드,KRZ500394655,미래에셋EasternEURICs업종대표증권자투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301734319,,,,,
펀드,KRZ500396971,미래에셋차이나업종대표증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301737064,,,,,
펀드,KRZ500351433,미래에셋팬아시아컨슈머증권자투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301686204,,,,,
펀드,KRZ500235674,미래에셋엄브렐러증권투자신탁(채권)종류 C-i,4,,,,matched,,,,KR5227564873,,,,,
펀드,KRZ500200944,미래에셋인디펜던스증권투자신탁3호(주식) 종류C1,2,,,,matched,,,,KR5301530428,,,,,
펀드,KRZ500281432,미래에셋인디펜던스증권투자신탁K-2호(주식) 종류C1,2,,,,matched,,,,KR5301612150,,,,,
펀드,KRZ500311133,미래에셋라이프사이클5060증권전환형자투자신탁1호(채권혼합) 종류 C-Y,4,,,,matched,,,,KR5301643122,,,,,
펀드,KRZ500311123,미래에셋라이프사이클4050증권전환형자투자신탁1호(주식혼합) 종류 C-Y,4,,,,matched,,,,KR5301643106,,,,,
펀드,KRZ500163645,하나 글로벌리츠부동산자투자신탁 [재간접형] 종류C1,2,,,,matched,,,,KR5312492501,,,,,
펀드,KRZ500243384,미래에셋아시아퍼시픽소비성장증권자투자신탁1호(주식)종류 B-2,2,,,,matched,,,,KR5227573478,,,,,
펀드,KRZ500318293,미래에셋대형주포커스증권자투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301650812,,,,,
펀드,KRZ500322865,미래에셋아시아퍼시픽인프라섹터증권투자신탁1호(주식) 종류C1,3,,,,matched,,,,KR5301655530,,,,,
펀드,KRZ500342991,미래에셋우리아이친디아업종대표증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301676684,,,,,
펀드,KRZ500199791,미래에셋디스커버리증권자투자신탁3호(주식) 종류 A,2,,,,matched,,,,KR5301529354,,,,,
펀드,KRZ500370751,한화한국오퍼튜니티증권 자투자신탁(주식) A 클래스,2,,,,matched,,,,KR5237708205,,,,,
펀드,KRZ500312981,미래에셋코친디아포커스7증권자투자신탁1호(주식) A,3,,,,matched,,,,KR5301645317,,,,,
펀드,KRZ500200942,미래에셋인디펜던스증권투자신탁3호(주식) 종류I,2,,,,matched,,,,KR5301530428,,,,,
펀드,KRZ500309934,미래에셋차이나솔로몬증권투자신탁2호(주식) 종류C1,2,,,,matched,,,,KR5301642579,,,,,
펀드,KRZ500311103,미래에셋라이프사이클2030증권전환형자투자신탁1호(주식) C-Y,2,,,,matched,,,,KR5301643064,,,,,
펀드,KRZ500280572,베어링 가치형 증권자투자신탁(주식) Class C,2,,,,matched,,,,KR5302611466,,,,,
펀드,KRZ500277951,IBK 그랑프리 KRX100인덱스 증권 투자신탁[주식] Class A,2,,,,matched,,,,KR5234608721,,,,,
펀드,KRZ500318401,미래에셋친디아컨슈머증권투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301650853,,,,,
펀드,KRZ500366321,유경PSG액티브밸류 증권투자신탁[주식] Class A,2,,,,matched,,,,KR5305702361,,,,,
펀드,KRZ500322861,미래에셋아시아퍼시픽인프라섹터증권투자신탁1호(주식) 종류 A,3,,,,matched,,,,KR5301655530,,,,,
펀드,KRZ500182002,미래에셋인디아디스커버리증권자투자신탁1호(주식)종류C-I,2,,,,matched,,,,KR5301511063,,,,,
펀드,KRZ500355484,피델리티 월드 Big 4 증권 자투자신탁 (주식-재간접형) 종류 C1,3,,,,matched,,,,KR5235690835,,,,,
펀드,KRZ500396984,미래에셋친디아인프라섹터증권자투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301737031,,,,,
펀드,KRZ500191502,미래에셋차이나디스커버리증권투자신탁1호(주식) 종류 C-I,2,,,,matched,,,,KR5301520478,,,,,
펀드,KRZ500356622,IBK 다보스 글로벌 고배당 증권 자투자신탁 3호[주식] Class C1,2,,,,matched,,,,KR5234692113,,,,,
펀드,KRZ500312983,미래에셋코친디아포커스7증권자투자신탁1호(주식) 종류 C-I,3,,,,matched,,,,KR5301645317,,,,,
펀드,KRZ500145263,미래에셋성장유망중소형주증권자투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301473934,,,,,
펀드,KRZ500351431,미래에셋팬아시아컨슈머증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301686204,,,,,
펀드,KRZ500306092,칸서스하베스트증권자투자신탁2호(주식) 종류 C2,2,,,,matched,,,,KR5233638166,,,,,
펀드,KRZ500309931,미래에셋차이나솔로몬증권투자신탁2호(주식) 종류 A,2,,,,matched,,,,KR5301642579,,,,,
펀드,KRZ500384085,미래에셋차이나인프라섹터증권자투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301722298,,,,,
펀드,KRZ500370757,한화한국오퍼튜니티증권 자투자신탁(주식) C1 클래스,2,,,,matched,,,,KR5237708205,,,,,
펀드,KRZ500206522,미래에셋인디펜던스증권자투자신탁G1호(주식) 종류C1,3,,,,matched,,,,KR5301535906,,,,,
펀드,KRZ500358451,미래에셋글로벌그레이트컨슈머증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301694034,,,,,
펀드,KRZ500234941,NH-Amundi 코리아 차이나 올스타 증권자투자신탁1호[주식] Class A,2,,,,matched,,,,KR5232564157,,,,,
펀드,KRZ500376746,미래에셋인디아인프라섹터증권자투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301714584,,,,,
펀드,KRZ500191501,미래에셋차이나디스커버리증권투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301520478,,,,,
펀드,KRZ500144051,IBK 그랑프리 국공채 증권 자투자신탁[채권] 종류 C1,5,,,,matched,,,,KR5234472631,,,,,
펀드,KRZ500191771,미래에셋디스커버리증권투자신탁2호(주식) 종류 A,2,,,,matched,,,,KR5301520981,,,,,
펀드,KRZ500206511,미래에셋디스커버리증권자투자신탁G1호(주식) 종류 A,3,,,,matched,,,,KR5301535880,,,,,
펀드,KRZ500310371,미래에셋아시아퍼시픽업종대표증권자투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5301642546,,,,,
펀드,KRZ500358454,미래에셋글로벌그레이트컨슈머증권자투자신탁1호(주식)  종류C1,2,,,,matched,,,,KR5301694034,,,,,
펀드,KRZ500152653,미래에셋코어밸류증권자투자신탁1호(주식) 종류C1,2,,,,matched,,,,KR5301481150,,,,,
펀드,KRZ500185263,IBK 업코리아 증권 자투자신탁 2호[주식] Class C,2,,,,matched,,,,KR5234514598,,,,,
펀드,KRZ500384495,IBK 인디아 인프라 증권 투자신탁[주식] 종류 Ce,2,,,,matched,,,,KR5234722977,,,,,
펀드,KRZ500182001,미래에셋인디아디스커버리증권자투자신탁1호(주식)종류A,2,,,,matched,,,,KR5301511063,,,,,
펀드,KRZ500306093,칸서스하베스트증권자투자신탁2호(주식) 종류 A1,2,,,,matched,,,,KR5233638166,,,,,
펀드,KRZ500384491,IBK 인디아 인프라 증권 투자신탁[주식] 종류 A,2,,,,matched,,,,KR5234722977,,,,,
펀드,KRZ500384492,IBK 인디아 인프라 증권 투자신탁[주식] 종류 C1,2,,,,matched,,,,KR5234722977,,,,,
펀드,KRZ50013294H,칸서스하베스트증권자투자신탁1호(주식) Class W,2,,,,matched,,,,KR5233461478,,,,,
펀드,KRZ500185261,IBK 업코리아 증권 자투자신탁 2호[주식] Class A,2,,,,matched,,,,KR5234514598,,,,,
펀드,KRZ50013294E,칸서스하베스트증권자투자신탁1호(주식) Class I2-3,2,,,,matched,,,,KR5233461478,,,,,
펀드,KRZ500253561,IBK 그랑프리 한국대표 증권 자투자신탁[주식] 종류 A,2,,,,matched,,,,KR5234583510,,,,,
펀드,KRZ500132945,칸서스하베스트증권자투자신탁1호(주식) Class A-4,2,,,,matched,,,,KR5233461478,,,,,
펀드,KRZ500066221,디더블유에스 코리아 채권투자신탁 1-1호 Class A,2,,,,matched,,,,KR5231388533,,,,,
펀드,KRZ500144071,IBK 밸류 코리아 증권 자투자신탁 1호[주식] 종류C1,2,,,,matched,,,,KR5234472664,,,,,
펀드,KRZ500393363,키움슈로더다이나믹아시아증권자투자신탁[주식-재간접형] Class A-e,2,,,,matched,,,,KR5230733168,,,,,
펀드,KRZ500132943,칸서스하베스트증권자투자신탁1호(주식) Class A-2,2,,,,matched,,,,KR5233461478,,,,,
펀드,KRZ500132944,칸서스하베스트증권자투자신탁1호(주식) Class A-3,2,,,,matched,,,,KR5233461478,,,,,
펀드,KRZ500338751,NH-Amundi 프리미어 인덱스 증권자투자신탁1호[주식-파생형] 종류 A,2,,,,matched,,,,KR5232672018,,,,,
펀드,KRZ500338761,NH-Amundi 친디아 증권자투자신탁1호[주식] Class A,3,,,,matched,,,,KR5232672950,,,,,
펀드,KRZ500334315,키움슈로더이머징위너스증권자투자신탁[주식혼합-재간접형] Class C1,2,,,,matched,,,,KR5230667796,,,,,
펀드,KRZ500144091,IBK KOSPI200 인덱스 증권 자투자신탁 1호[주식] Class A,2,,,,matched,,,,KR5234472730,,,,,
펀드,KRZ500369841,키움슈로더라틴아메리카증권자투자신탁[주식-재간접형] Class A,2,,,,matched,,,,KR5230707220,,,,,
펀드,KRZ500350735,카디안 차이나드래곤AShare증권자투자신탁(UH)[주식] 클래스 C,2,,,,matched,,,,KR5229684984,,,,,
펀드,KRZ500306091,칸서스하베스트증권자투자신탁2호(주식) 종류 C1,2,,,,matched,,,,KR5233638166,,,,,
펀드,KRZ500300782,NH-Amundi 아세안 플러스 증권투자신탁 1호[주식] Class C-1,4,,,,matched,,,,KR5232632632,,,,,
펀드,KRZ500300785,NH-Amundi 아세안 플러스 증권투자신탁 1호[주식] Class Ci,4,,,,matched,,,,KR5232632632,,,,,
펀드,KRZ500144093,IBK KOSPI200 인덱스 증권 자투자신탁 1호[주식] Class C,2,,,,matched,,,,KR5234472730,,,,,
펀드,KRZ500318291,미래에셋대형주포커스증권자투자신탁1호(주식)종류 A,2,,,,matched,,,,KR5301650812,,,,,
펀드,KRZ50013294J,칸서스하베스트증권자투자신탁1호(주식) Class C,2,,,,matched,,,,KR5233461478,,,,,
펀드,KRZ500253563,IBK 그랑프리 한국대표 증권 자투자신탁[주식] 종류 Ae,2,,,,matched,,,,KR5234583510,,,,,
펀드,KRZ500315241,키움슈로더차이나그로스증권자투자신탁[주식-재간접형] Class A,2,,,,matched,,,,KR5230647913,,,,,
펀드,KRZ500334311,키움슈로더이머징위너스증권자투자신탁[주식혼합-재간접형] Class A,2,,,,matched,,,,KR5230667796,,,,,
펀드,KRZ50013294F,칸서스하베스트증권자투자신탁1호(주식) Class I2-4,2,,,,matched,,,,KR5233461478,,,,,
펀드,KRZ500334314,키움슈로더이머징위너스증권자투자신탁[주식혼합-재간접형] Class I,2,,,,matched,,,,KR5230667796,,,,,
펀드,KRZ500393364,키움슈로더다이나믹아시아증권자투자신탁[주식-재간접형] Class C-e,2,,,,matched,,,,KR5230733168,,,,,
펀드,KRZ50013294A,칸서스하베스트증권자투자신탁1호(주식) Class I-4,2,,,,matched,,,,KR5233461478,,,,,
펀드,KRZ500087661,카디안 스탠다드플러스증권투자신탁[채권] 클래스 C-F,5,,,,matched,,,,KR5229437078,,,,,
펀드,KRZ500066224,디더블유에스 코리아 채권투자신탁 1-1호 Class U,2,,,,matched,,,,KR5231388533,,,,,
펀드,KRZ500109431,미래에셋솔로몬단기국공채증권자투자신탁1호(채권) 종류A,5,,,,matched,,,,KR5227410911,,,,,
펀드,KRZ500208991,미래에셋인디아솔로몬증권투자신탁1호(주식) 종류 A,2,,,,matched,,,,KR5227538372,,,,,
펀드,KRZ500397351,한화러시아증권 자투자신탁(주식-재간접형) A 클래스,1,,,,matched,,,,KR5237737592,,,,,
펀드,KRZ500206352,미래에셋솔로몬플래너증권자투자신탁G1호(주식) 종류C1,3,,,,matched,,,,KR5227535733,,,,,
펀드,KRZ500328041,미래에셋미국블루칩인덱스증권투자신탁1호(주식)종류A,3,,,,matched,,,,KR5225661283,,,,,
펀드,KRZ500361403,KB 베트남 포커스 증권 자투자신탁(주식혼합)(H) C 클래스,2,,,,matched,,,,KR5223697677,,,,,
펀드,KRZ500289931,미래에셋로저스농산물지수특별자산자투자신탁(일반상품-파생형)종류C,3,,,,matched,,,,KR5225620966,,,,,
펀드,KRZ500358362,미래에셋라틴인덱스증권투자신탁1호(주식)종류C2,2,,,,matched,,,,KR5225693971,,,,,
펀드,KRZ500222266,흥국마켓리더스증권투자신탁[주식] 종류C1,2,,,,matched,,,,KR5224694962,,,,,
펀드,KRZ500087662,카디안 스탠다드플러스증권투자신탁[채권] 클래스 C,5,,,,matched,,,,KR5229437078,,,,,
펀드,KRZ500355481,피델리티 월드 Big 4 증권 자투자신탁 (주식-재간접형) 종류 A,3,,,,matched,,,,KR5235690835,,,,,
펀드,KRZ500055836,우리 Best 중소형 증권 자투자신탁[주식] Class C1,1,,,,matched,,,,KR5228527838,,,,,
