종류,코드,상품명,위험등급,취급시작,취급종료,판매,매칭,SEIBro확인,정식펀드명(SEIBro),SEIBro이름대조,협회표준코드,협회단축코드,KOFIA펀드명,KOFIA이름대조,대조결과,확인필요
펀드,KRZ50180137J,피델리티글로벌배당인컴증권자투자신탁(주식-재간접형)CP-e,—,2018-06-22,∞,Y,미매칭,존재,피델리티 글로벌 배당 인컴 증권 자투자신탁 (주식-재간접형) CP-e,일치(정규화),K55235BW6864,BW686,피델리티글로벌배당인컴증권자투자신탁(주식-재간접형)종류CP-e,일치(정규화),matched_marker,Y
펀드,KRZ501498212,피델리티퇴직연금글로벌증권자투자신탁CP(주식-재간접형)CP-e,—,2018-06-22,∞,Y,미매칭,존재,피델리티 퇴직연금 글로벌 증권 자투자신탁 CP (주식-재간접형) 종류 CP-e,일치(정규화),K55235BY9361,BY936,피델리티퇴직연금글로벌증권자투자신탁CP(주식-재간접형)종류CP-e,일치(정규화),matched,
펀드,KRZ50125540E,한화글로벌헬스케어증권자투자신탁[주식]RPe,—,2018-07-23,∞,Y,미매칭,존재,한화글로벌헬스케어증권 자투자신탁(주식) 종류RPe(퇴직연금),일치(정규화),K55213BU6698,BU669,한화글로벌헬스케어증권 자투자신탁(주식) 종류RPe(퇴직연금),일치(정규화),matched,
펀드,KRZ501212332,한국투자퇴직연금마이스터증권자투자신탁1호(주식)C-e,—,2018-07-24,∞,Y,미매칭,존재,한국투자퇴직연금마이스터증권자투자신탁1호(주식) 종류 C-e,일치(정규화),K55101BW5024,BW502,한국투자퇴직연금마이스터증권자투자신탁1호(주식)(C-e),일치(정규화),matched_marker,Y
펀드,KRZ502048758,한국투자연금베트남그로스증권자투자신탁(주식)C-Re,—,2018-07-24,∞,Y,미매칭,존재,한국투자연금베트남그로스증권자투자신탁(주식) 종류 C-Re,일치(정규화),K55101BT7462,BT746,한국투자연금베트남그로스증권자투자신탁(주식)(C-Re),일치(정규화),matched_marker,Y
펀드,KRZ50132367G,하나글로벌인프라증권자투자신탁[주식]C-P2E,—,2018-07-27,∞,Y,미매칭,존재,하나 글로벌인프라 증권 자투자신탁[주식] 종류C-P2E,일치(정규화),K55102BU0349,BU034,하나글로벌인프라증권자투자신탁[주식]ClassC-P2E,일치(정규화),matched_marker,Y
펀드,KRZ50191851F,하나미국토탈일드증권자투자신탁[주식-재간접형]C-P2E,—,2018-07-27,∞,Y,미매칭,존재,하나 미국토탈일드증권자투자신탁 [주식-재간접형]종류C-P2E,일치(정규화),K55102BU0356,BU035,하나미국토탈일드증권자투자신탁[주식-재간접형]Class C-P2E,일치(정규화),matched_marker,Y
펀드,KRZ501017809,신영마라톤증권자투자신탁(주식)C-P2e,—,2018-07-30,∞,Y,미매칭,존재,신영마라톤 증권 자투자신탁(주식) C-P2e,일치(정규화),K55209BT8958,BT895,신영마라톤증권자투자신탁(주식) C-P2e형,유사,matched_anagram,Y
펀드,KRZ50159385L,DB바이오헬스케어증권자투자신탁제1호[주식]C-P2E,—,2018-08-13,∞,Y,미매칭,존재,DB바이오헬스케어증권자투자신탁 제1호[주식] Class C-P2E,일치(정규화),K55216BT3877,BT387,DB바이오헬스케어증권자투자신탁제1호[주식]ClassC-P2E,일치(정규화),matched,
펀드,KRZ50202663J,KCGI글로벌헬스케어증권투자신탁[주식]C-Pe2,—,2018-08-16,∞,Y,미매칭,존재,KCGI글로벌헬스케어증권투자신탁[주식]종류C-Pe2,일치(정규화),K55365BT3652,BT365,KCGI글로벌헬스케어증권투자신탁[주식]종류C-Pe2,일치(정규화),matched,
펀드,KRZ50152112K,iM에셋월드골드증권자투자신탁(주식-재간접형)(H)C-Rpe,—,2018-08-21,∞,Y,미매칭,존재,iM에셋 월드골드 증권 자투자신탁(주식-재간접형)(H) 종류 C-Rpe,일치(정규화),K55366BT9674,BT967,iM에셋월드골드증권자투자신탁(주식-재간접형)(H)(C-Rpe),일치(정규화),matched_marker,Y
펀드,KRZ501863993,미래에셋퇴직플랜글로벌그레이트컨슈머증권자투자신탁1호(주식)C-P2e,—,2018-08-23,∞,Y,미매칭,존재,미래에셋퇴직플랜글로벌그레이트컨슈머증권자투자신탁1호(주식) 종류C-P2e,일치(정규화),K55301BV3077,BV307,미래에셋퇴직플랜글로벌그레이트컨슈머증권자투자신탁1호(주식) 종류C-P2e,일치(정규화),matched,
펀드,KRZ501207473,미래에셋퇴직플랜증권자투자신탁1호(주식)C-P2e,—,2018-08-27,∞,Y,미매칭,존재,미래에셋퇴직플랜증권자투자신탁1호(주식) 종류C-P2e,일치(정규화),K55301BV2665,BV266,미래에셋퇴직플랜증권자투자신탁1호(주식) 종류C-P2e,일치(정규화),matched,
펀드,KRZ50133788H,삼성아세안증권자투자신탁제2호[주식]Cpe(퇴직연금),—,2018-09-03,∞,Y,미매칭,존재,삼성아세안증권자투자신탁 제2호[주식](Cpe(퇴직연금)),일치(정규화),K55105BU8349,BU834,삼성아세안증권자투자신탁 제2호[주식](Cpe(퇴직연금)),일치(정규화),matched,
펀드,KRZ501205012,삼성퇴직연금액티브배당증권자투자신탁제1호[주식]Ce,—,2018-09-03,∞,Y,미매칭,존재,삼성퇴직연금액티브배당증권자투자신탁제1호[주식]_Ce,일치(정규화),K55105BV5583,BV558,삼성퇴직연금액티브배당증권자투자신탁 제1호[주식]_Ce,일치(정규화),matched,
펀드,KRZ500624406,한국밸류10년투자퇴직연금증권자투자신탁1호(주식)C-e,—,2018-10-15,∞,Y,미매칭,존재,한국밸류 10년투자 퇴직연금 증권자투자신탁 1호(주식) C-E,일치(정규화),KR5236267161,26716,한국밸류10년투자퇴직연금증권자투자신탁1호(주식)(C-E),일치(정규화),matched_loose,Y
